date,Location,Year,pm10value,pm25value,wsvalue,wdvalue,atvalue,pm10thres,pm25thres
1/05/2024,Hamilton,2024,10.375,4.897,1.011,306.789,13.558,50,25
2/05/2024,Hamilton,2024,12.502,4.601,1.457,264.765,13.637,50,25
3/05/2024,Hamilton,2024,14.077,7.692,0.629,134.915,11.974,50,25
4/05/2024,Hamilton,2024,18.82,11.729,0.676,169.29,11.851,50,25
5/05/2024,Hamilton,2024,18.798,12.256,0.736,66.906,11.481,50,25
6/05/2024,Hamilton,2024,14.851,9.622,0.562,104.836,12.383,50,25
7/05/2024,Hamilton,2024,10.477,4.835,1.865,140.524,12.403,50,25
8/05/2024,Hamilton,2024,14.088,7.539,0.912,178.261,9.685,50,25
9/05/2024,Hamilton,2024,10.035,4.997,1.36,166.867,9.344,50,25
10/05/2024,Hamilton,2024,15.315,7.087,1.186,194.019,8.479,50,25
11/05/2024,Hamilton,2024,27.65,18.922,0.689,158.181,7.941,50,25
12/05/2024,Hamilton,2024,35.576,24.632,0.468,6.134,8.552,50,25
13/05/2024,Hamilton,2024,16.536,10.718,0.632,247.733,11.593,50,25
14/05/2024,Hamilton,2024,12.308,6.282,1.044,100.638,10.8,50,25
15/05/2024,Hamilton,2024,12.464,5.343,1.348,13.446,15.323,50,25
16/05/2024,Hamilton,2024,12.843,4.906,1.858,286.508,14.661,50,25
17/05/2024,Hamilton,2024,16.665,7.258,0.632,248.455,13.138,50,25
18/05/2024,Hamilton,2024,18.672,10.3,0.605,189.862,11.049,50,25
19/05/2024,Hamilton,2024,11.434,7.013,0.908,93.598,12.198,50,25
20/05/2024,Hamilton,2024,10.969,5.804,1.538,155.845,11.839,50,25
21/05/2024,Hamilton,2024,7.72,3.991,1.824,48.359,15.087,50,25
22/05/2024,Hamilton,2024,5.091,1.935,1.441,177.791,14.222,50,25
23/05/2024,Hamilton,2024,10.153,5.724,0.9,149.957,12.076,50,25
24/05/2024,Hamilton,2024,14.934,8.738,0.939,261.427,11.956,50,25
25/05/2024,Hamilton,2024,11.178,5.588,1.433,249.713,11.446,50,25
26/05/2024,Hamilton,2024,13.597,5.308,3.323,248.654,13.712,50,25
27/05/2024,Hamilton,2024,12.145,5.039,1.499,275.61,12.583,50,25
28/05/2024,Hamilton,2024,11.794,5.002,1.336,290.113,11.947,50,25
29/05/2024,Hamilton,2024,10.085,4.325,2.356,253.217,10.274,50,25
30/05/2024,Hamilton,2024,17.697,6.885,2.013,257.724,12.006,50,25
31/05/2024,Hamilton,2024,20.547,7.992,2.161,242.406,14.75,50,25
1/06/2024,Hamilton,2024,16.218,8.059,0.966,323.267,13.267,50,25
2/06/2024,Hamilton,2024,12.843,6.065,1.394,271.198,15.763,50,25
3/06/2024,Hamilton,2024,16.171,8.861,1.267,244.369,12.714,50,25
4/06/2024,Hamilton,2024,23.256,11.849,1.228,150.497,9.914,50,25
5/06/2024,Hamilton,2024,21.93,12.577,1.07,105.262,9.443,50,25
6/06/2024,Hamilton,2024,12.979,6.34,1.296,105.901,12.369,50,25
7/06/2024,Hamilton,2024,17.566,9.941,0.796,153.637,13.137,50,25
8/06/2024,Hamilton,2024,16.004,9.885,1.15,117.846,13.792,50,25
9/06/2024,Hamilton,2024,11.42,5.281,2.159,39.87,15.179,50,25
10/06/2024,Hamilton,2024,11.463,4.722,2.062,311.532,16.661,50,25
11/06/2024,Hamilton,2024,19.994,10.373,1.312,235.584,12.131,50,25
12/06/2024,Hamilton,2024,17.497,10.094,0.989,119.174,10.019,50,25
13/06/2024,Hamilton,2024,17.186,10.286,1.595,102.313,11.134,50,25
14/06/2024,Hamilton,2024,,,2.555,64.934,15.472,50,25
15/06/2024,Hamilton,2024,,,,,,50,25
16/06/2024,Hamilton,2024,,,,,,50,25
17/06/2024,Hamilton,2024,,,1.113,267.456,13.112,50,25
18/06/2024,Hamilton,2024,6.038,2.722,2.07,141.019,13.559,50,25
19/06/2024,Hamilton,2024,4.991,2.005,2.962,134.935,12.07,50,25
20/06/2024,Hamilton,2024,5.618,2.536,2.832,117.646,11.409,50,25
21/06/2024,Hamilton,2024,14.162,8.957,1.655,126.686,10.296,50,25
22/06/2024,Hamilton,2024,12.62,7.708,1.362,96.493,10.082,50,25
23/06/2024,Hamilton,2024,9.998,6.343,1.444,37.673,13.067,50,25
24/06/2024,Hamilton,2024,11.841,8.435,0.968,151.067,10.362,50,25
25/06/2024,Hamilton,2024,7.963,3.765,2.113,219.057,11.851,50,25
26/06/2024,Hamilton,2024,6.266,2.563,2.906,212.939,13.75,50,25
27/06/2024,Hamilton,2024,16.262,10.388,1.133,174.087,10.809,50,25
28/06/2024,Hamilton,2024,23.305,16.095,0.682,193.778,9.175,50,25
29/06/2024,Hamilton,2024,26.282,19.4,0.708,94.044,7.528,50,25
30/06/2024,Hamilton,2024,10.326,7.536,0.806,316.578,8.112,50,25
1/07/2024,Hamilton,2024,8.066,4.193,1.791,359.667,12.024,50,25
2/07/2024,Hamilton,2024,14.777,6.014,2.299,296.636,11.762,50,25
3/07/2024,Hamilton,2024,10.546,5.619,1.255,177.246,9.815,50,25
4/07/2024,Hamilton,2024,13.077,7.585,1.046,167.212,7.068,50,25
5/07/2024,Hamilton,2024,17.784,11.998,0.848,196.527,6.694,50,25
6/07/2024,Hamilton,2024,23.985,16.052,1.136,228.127,8.85,50,25
7/07/2024,Hamilton,2024,32.667,22.66,0.96,275.612,7.261,50,25
8/07/2024,Hamilton,2024,11.136,7.849,0.9,134.316,8.683,50,25
9/07/2024,Hamilton,2024,18.369,12.422,0.944,133.743,9.074,50,25
10/07/2024,Hamilton,2024,24.677,16.024,0.666,189.396,8.843,50,25
11/07/2024,Hamilton,2024,24.16,16.703,0.798,170.236,7.178,50,25
12/07/2024,Hamilton,2024,20.372,13.473,0.902,183.802,6.275,50,25
13/07/2024,Hamilton,2024,8.203,4.675,1.642,152.639,8.703,50,25
14/07/2024,Hamilton,2024,9.805,4.57,2.826,120.85,10.516,50,25
15/07/2024,Hamilton,2024,7.575,3.052,3.422,73.525,13.092,50,25
16/07/2024,Hamilton,2024,14.269,8.982,0.706,316.082,12.271,50,25
17/07/2024,Hamilton,2024,13.598,9.343,0.974,160.746,9.752,50,25
18/07/2024,Hamilton,2024,23.471,17.082,0.637,35.029,9.332,50,25
19/07/2024,Hamilton,2024,11.647,7.236,0.964,127.886,10.921,50,25
20/07/2024,Hamilton,2024,10.104,5.442,1.498,196.077,12.606,50,25
21/07/2024,Hamilton,2024,13.454,5.828,1.718,335.205,13.225,50,25
22/07/2024,Hamilton,2024,7.998,4.14,1.126,324.475,12.026,50,25
23/07/2024,Hamilton,2024,17.672,6.83,1.502,251.063,10.615,50,25
24/07/2024,Hamilton,2024,18.916,9.467,1.2,243.042,9.973,50,25
25/07/2024,Hamilton,2024,24.678,13.103,0.939,227.704,10.494,50,25
26/07/2024,Hamilton,2024,18.888,12.337,0.71,76.63,8.629,50,25
27/07/2024,Hamilton,2024,20.939,15.142,0.543,19.59,9.039,50,25
28/07/2024,Hamilton,2024,22.613,16.413,0.856,3,10.185,50,25
29/07/2024,Hamilton,2024,14.289,8.9,1.681,39.238,11.216,50,25
30/07/2024,Hamilton,2024,6.647,2.927,1.602,44.313,12.752,50,25
31/07/2024,Hamilton,2024,6.047,3.41,1.525,117.66,12.603,50,25
1/08/2024,Hamilton,2024,5.629,3.025,1.526,155.921,10.751,50,25
2/08/2024,Hamilton,2024,4.8,2.391,2.836,133.293,10.56,50,25
3/08/2024,Hamilton,2024,8.112,3.861,2.169,125.245,9.151,50,25
4/08/2024,Hamilton,2024,16.884,9.757,1.651,131,8.58,50,25
5/08/2024,Hamilton,2024,29.095,17.467,0.652,199.093,7.301,50,25
6/08/2024,Hamilton,2024,33.296,23.275,0.577,39.785,7.861,50,25
7/08/2024,Hamilton,2024,21.097,14.901,0.716,48.301,7.567,50,25
8/08/2024,Hamilton,2024,17.521,11.167,1.357,35.006,9.315,50,25
9/08/2024,Hamilton,2024,9.783,5.848,0.958,224.827,9.859,50,25
10/08/2024,Hamilton,2024,12.664,7.766,0.931,196.732,10.048,50,25
11/08/2024,Hamilton,2024,11.095,6.609,1.088,261.177,9.803,50,25
12/08/2024,Hamilton,2024,13.238,5.223,3.014,266.877,12.877,50,25
13/08/2024,Hamilton,2024,13.666,5.553,1.804,210.997,11.142,50,25
14/08/2024,Hamilton,2024,23.16,12.574,0.83,329.348,8.396,50,25
15/08/2024,Hamilton,2024,20.083,10.808,0.889,320.268,9.594,50,25
16/08/2024,Hamilton,2024,8.167,4.266,1.367,334.913,12.621,50,25
17/08/2024,Hamilton,2024,7.844,4.413,1.825,22.083,13.611,50,25
18/08/2024,Hamilton,2024,11.334,4.838,3.25,317.478,15.333,50,25
19/08/2024,Hamilton,2024,17.604,6.904,4.087,264.554,11.632,50,25
20/08/2024,Hamilton,2024,14.964,6.077,1.908,258.436,10.582,50,25
21/08/2024,Hamilton,2024,16.406,9.687,0.913,278.607,9.084,50,25
22/08/2024,Hamilton,2024,16.087,10.185,0.8,87.36,9.165,50,25
23/08/2024,Hamilton,2024,13.815,7.343,1.766,25.239,11.211,50,25
24/08/2024,Hamilton,2024,12.303,6.696,1.734,321.22,13.442,50,25
25/08/2024,Hamilton,2024,17.763,9.68,1.243,329.608,10.583,50,25
26/08/2024,Hamilton,2024,9.441,4.383,1.285,6.464,12.45,50,25
27/08/2024,Hamilton,2024,16.813,6.705,2.367,328.786,14.632,50,25
28/08/2024,Hamilton,2024,22.175,8.577,3.203,283.035,14.411,50,25
29/08/2024,Hamilton,2024,14.75,6.232,2.286,332.849,14.855,50,25
30/08/2024,Hamilton,2024,26.88,10.183,1.788,308.901,13.614,50,25
31/08/2024,Hamilton,2024,16.502,7.341,1.746,351.586,14.757,50,25
1/09/2024,Hamilton,2024,28.307,11.914,2.44,297.755,16.123,50,25
2/09/2024,Hamilton,2024,13.23,6.163,0.838,57.52,13.725,50,25
3/09/2024,Hamilton,2024,16.482,7.38,2.022,332.645,15.158,50,25
4/09/2024,Hamilton,2024,10.55,4.09,1.696,232.84,12.592,50,25
5/09/2024,Hamilton,2024,11.065,4.582,1.779,186.426,10.966,50,25
6/09/2024,Hamilton,2024,15.029,6.139,1.655,259.714,11.976,50,25
7/09/2024,Hamilton,2024,19.1,7.591,3.16,281.304,15.75,50,25
8/09/2024,Hamilton,2024,19.214,7.005,2.754,257.584,13.35,50,25
9/09/2024,Hamilton,2024,18.56,6.827,1.455,314.357,12.516,50,25
10/09/2024,Hamilton,2024,18.47,7.002,2.276,278.179,14.702,50,25
11/09/2024,Hamilton,2024,18.384,6.419,2.239,234.435,13.131,50,25
12/09/2024,Hamilton,2024,15.299,6.98,1.068,297.187,10.371,50,25
13/09/2024,Hamilton,2024,14.403,6.06,1.337,339.908,13.152,50,25
14/09/2024,Hamilton,2024,10.509,4.795,1.734,345.46,15.137,50,25
15/09/2024,Hamilton,2024,7.173,2.512,1.881,257.371,13.311,50,25
16/09/2024,Hamilton,2024,9.17,3.976,1.364,359.36,10.782,50,25
17/09/2024,Hamilton,2024,11.517,4.579,2.464,253.105,9.911,50,25
18/09/2024,Hamilton,2024,11.709,5.006,1.671,252.308,9.738,50,25
19/09/2024,Hamilton,2024,17.781,7.129,2.005,301.353,12.582,50,25
20/09/2024,Hamilton,2024,11.559,5.137,1.406,329.896,11.994,50,25
21/09/2024,Hamilton,2024,19.961,8.222,1.581,288.9,13.594,50,25
