Date,Location,Year,PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM1 (pcs/m3),Temperature (C),Humidity (% RH)
1/05/2024,Wintec,2024,2.076093408,2.488057916,2.771674272,16157913.69,16.1487707,65.87082336
2/05/2024,Wintec,2024,1.429572641,2.884258438,4.217565577,9881929.972,15.54048894,64.52507531
3/05/2024,Wintec,2024,2.416319654,2.887635321,3.211522033,18472365.89,14.65205195,66.015547
4/05/2024,Wintec,2024,3.016788113,3.198641781,3.207141347,23913829.36,13.93278552,61.56478819
5/05/2024,Wintec,2024,4.162753289,4.402273157,4.40241217,33023886.09,13.7396388,62.92623547
6/05/2024,Wintec,2024,6.210063373,6.571281586,6.575781767,49242375.1,15.04687313,67.09346069
7/05/2024,Wintec,2024,3.557555648,4.032705804,4.295592995,27932260.99,14.9540431,63.48127813
8/05/2024,Wintec,2024,1.909008139,2.101676499,2.183514136,15053440.85,11.66492113,58.97253083
9/05/2024,Wintec,2024,4.130609417,4.385985078,4.403842707,32742593.27,10.87735334,58.65996266
10/05/2024,Wintec,2024,2.340658401,2.86670714,3.245816701,18144704.38,10.67411842,54.67151764
11/05/2024,Wintec,2024,7.725492149,8.200612233,8.23084296,61147110.99,10.179362,58.35626792
12/05/2024,Wintec,2024,10.68249366,11.30220107,11.30825451,84581691.11,11.09999641,60.6261066
13/05/2024,Wintec,2024,5.910718306,6.251348261,6.252483466,46873649.99,14.6026918,66.01601897
14/05/2024,Wintec,2024,8.316530278,8.901177088,9.005417033,64093577.45,14.00766838,67.54266824
15/05/2024,Wintec,2024,3.751638378,4.875293913,5.757406647,28773850.82,17.61789784,70.37208361
16/05/2024,Wintec,2024,1.926179533,3.683520947,5.282643324,13531752.69,17.0372846,68.88450532
17/05/2024,Wintec,2024,3.289143043,4.080506634,4.665900938,25439896.01,15.5191764,64.20124919
18/05/2024,Wintec,2024,2.992659198,3.372121237,3.573178198,23520420.2,13.1992014,63.21034941
19/05/2024,Wintec,2024,3.99704547,4.234183569,4.241204472,31662231.88,14.75816042,62.27325264
20/05/2024,Wintec,2024,4.582734019,4.846205362,4.846480042,36343343.73,13.68686857,67.05619826
21/05/2024,Wintec,2024,2.544660581,2.728202259,2.764687083,20116722.53,17.49740028,71.03250334
22/05/2024,Wintec,2024,1.039552679,1.118480282,1.137317531,8224621.11,16.15558631,65.69019472
23/05/2024,Wintec,2024,2.333654558,2.470703877,2.474491012,18494643.21,14.97975317,65.98800285
24/05/2024,Wintec,2024,3.202186094,3.434191508,3.481030132,25331227.76,14.4848793,65.80528566
25/05/2024,Wintec,2024,1.581882477,2.384852885,3.076622344,11795253.6,13.7560324,66.11109615
26/05/2024,Wintec,2024,1.929231276,4.113425483,6.12656508,13103875.8,15.40439465,66.49378409
27/05/2024,Wintec,2024,1.523353771,2.790883628,3.936472006,10830442.05,14.83737605,65.70198707
28/05/2024,Wintec,2024,1.426319262,2.34444969,3.156677613,10426130.91,14.35267502,64.56995943
29/05/2024,Wintec,2024,1.613807299,2.935617506,4.12942235,11499294.28,11.95282905,67.22559951
30/05/2024,Wintec,2024,2.380961749,4.556053132,6.535432765,16719910.92,13.29190432,64.4357754
31/05/2024,Wintec,2024,3.299614343,5.025501327,6.517976289,24543406.05,17.18591814,64.38427192
1/06/2024,Wintec,2024,2.978967287,3.581425003,4.001032113,23170914.11,15.98285323,66.56962585
2/06/2024,Wintec,2024,1.991519182,3.070187919,4.005607988,14774493.13,18.01501919,69.85807071
3/06/2024,Wintec,2024,4.168185932,4.833475433,5.246574209,32591330.75,15.35668946,67.27634425
4/06/2024,Wintec,2024,5.454694088,6.434981279,7.083612245,42536846.7,12.08386736,62.68242439
5/06/2024,Wintec,2024,6.53449325,7.081075021,7.247198049,51624329.48,11.67922763,62.58349278
6/06/2024,Wintec,2024,3.719282938,4.030100494,4.123545442,29403059.33,15.11541942,63.64364558
7/06/2024,Wintec,2024,5.790602976,6.138852768,6.153686527,45900029.55,15.66815528,64.69999785
8/06/2024,Wintec,2024,5.795425017,6.129067088,6.1290613,45967335.02,16.57122842,63.45856852
9/06/2024,Wintec,2024,3.001642992,3.362610764,3.545891938,23611546.21,17.79814007,66.97045806
10/06/2024,Wintec,2024,1.484370064,2.38690166,3.826501619,12544159.84,17.26130398,70.17099063
11/06/2024,Wintec,2024,2.389740284,3.312715788,4.074930904,18121092,14.68589596,64.73994585
12/06/2024,Wintec,2024,5.26226943,5.621251764,5.676452836,41656385.39,13.33065083,63.70689784
13/06/2024,Wintec,2024,8.694841399,9.201859617,9.209008949,68859805.29,13.75301851,64.72052589
14/06/2024,Wintec,2024,1.804165505,2.080366053,2.247688589,14129506.74,17.57068205,72.43863757
15/06/2024,Wintec,2024,1.525789491,2.903925862,4.156898833,10734130.27,14.71102417,66.99231618
16/06/2024,Wintec,2024,1.159138261,1.467381695,1.702141405,8940438.484,15.27698707,66.90864618
17/06/2024,Wintec,2024,3.24838392,3.505683199,3.574311981,25665404.18,15.86678174,70.48083229
18/06/2024,Wintec,2024,1.433804049,1.516948245,1.517677521,11374780.49,15.37371733,66.34580014
19/06/2024,Wintec,2024,1.327420546,1.422850632,1.442350143,10508816.79,13.96982481,61.00680459
20/06/2024,Wintec,2024,1.833891817,1.946418293,1.954072662,14537081.25,13.54672118,59.52443278
21/06/2024,Wintec,2024,3.981987634,4.225012381,4.239122914,31527961.4,12.27163433,60.35910195
22/06/2024,Wintec,2024,4.277042477,4.528538905,4.533995716,33908084.73,12.6803902,65.37035188
23/06/2024,Wintec,2024,2.305689249,2.504320006,2.569397672,18202167.32,15.57314894,69.0557483
24/06/2024,Wintec,2024,7.927678968,8.426176029,8.468359081,62782614.32,13.70298274,70.68224077
25/06/2024,Wintec,2024,2.171637563,2.400539999,2.501263828,17119847.97,14.10968345,66.95414889
26/06/2024,Wintec,2024,0.647061937,1.02352616,1.352802747,4772907.615,15.2022574,59.53837839
27/06/2024,Wintec,2024,3.670075532,3.90331549,3.925009368,29048890.84,11.80957498,62.65153408
